httpOpen,tcpWindowSize,zeroWindow,duration,resPacketSplit,label,srcIp,dstIp,srcPort,dstPort
Yes,1452.0,,,,NORMAL,155.105.111.12,149.58.202.202,9863,80
Yes,598.0,8.0,,,NORMAL,146.129.222.205,71.60.72.142,62531,80
Yes,174.0,1.0,,,NORMAL,229.180.194.241,163.190.209.32,54840,80
Yes,1961.0,,,,NORMAL,137.204.85.202,19.220.234.205,57763,80
Yes,562.0,16.0,276.0,,NORMAL,115.127.151.105,84.50.189.108,36014,80
Yes,1937.0,,,,NORMAL,26.48.167.53,246.204.42.106,51100,80
Yes,1945.0,,,,NORMAL,160.103.156.133,174.68.126.59,30175,80
Yes,269.0,8.0,,,NORMAL,214.212.22.40,133.78.2.109,44853,80
Yes,1633.0,,,,NORMAL,39.184.89.188,24.248.247.128,3535,80
Yes,450.0,13.0,578.0,291.0,NORMAL,32.159.142.189,83.229.232.50,36307,80
Yes,1227.0,,,,NORMAL,125.104.124.111,212.175.177.64,27322,80
Yes,845.0,14.0,85.0,,NORMAL,221.156.251.13,123.196.155.142,22274,80
Yes,504.0,12.0,99.0,,NORMAL,68.160.45.242,3.72.225.222,58302,80
Yes,1219.0,,,,NORMAL,60.72.2.116,84.226.217.248,10846,80
Yes,1683.0,,,,NORMAL,235.151.39.156,235.43.158.118,6992,80
Yes,1787.0,,,,NORMAL,33.232.115.208,73.118.189.183,36376,80
Yes,173.0,15.0,201.0,,NORMAL,213.75.161.231,156.107.244.86,59335,80
Yes,1748.0,,,,NORMAL,96.230.35.55,50.137.94.94,21116,80
Yes,1912.0,,,,NORMAL,85.95.174.55,8.0.144.186,32990,80
No,,,,,NORMAL,23.221.132.231,117.243.181.148,31617,80
Yes,300.0,5.0,,,NORMAL,18.119.207.171,80.227.38.13,58969,80
Yes,939.0,0.0,,,NORMAL,196.237.233.4,169.77.80.248,53957,80
Yes,955.0,14.0,590.0,1275.0,ABNORMAL,29.195.132.11,25.72.123.1,47977,80
Yes,1315.0,,,,NORMAL,43.30.222.186,68.62.214.219,19688,80
Yes,829.0,18.0,382.0,1549.0,ABNORMAL,158.121.218.188,205.238.202.124,31057,47094
Yes,1608.0,,,,NORMAL,148.108.131.135,188.71.241.168,24039,80
Yes,1861.0,,,,NORMAL,173.253.118.51,179.106.226.214,12338,80
Yes,150.0,18.0,44.0,,NORMAL,234.130.231.14,132.75.225.39,16327,80
Yes,1161.0,,,,NORMAL,30.187.91.215,164.156.229.5,31027,80
Yes,209.0,13.0,262.0,,NORMAL,103.165.214.191,187.74.198.84,45167,80
Yes,1876.0,,,,NORMAL,236.59.242.180,245.208.255.188,11947,80
Yes,481.0,13.0,321.0,634.0,NORMAL,27.39.40.219,220.67.190.143,27893,80
Yes,1509.0,,,,NORMAL,52.188.137.93,4.53.96.100,30500,80
Yes,395.0,10.0,,,NORMAL,34.216.180.157,60.96.177.122,29671,80
Yes,1712.0,,,,NORMAL,21.41.242.211,248.56.120.1,11235,80
Yes,406.0,18.0,37.0,,NORMAL,229.181.2.67,173.53.70.72,14364,80
Yes,1811.0,,,,NORMAL,191.228.161.244,178.186.186.99,16729,80
Yes,1473.0,,,,NORMAL,161.67.33.17,218.162.199.117,29457,80
Yes,154.0,6.0,,,NORMAL,228.120.210.233,241.87.204.238,21462,80
Yes,1651.0,,,,NORMAL,251.61.133.89,186.215.113.51,58761,80
Yes,1181.0,,,,NORMAL,151.204.43.186,32.155.155.146,21132,80
Yes,1606.0,,,,NORMAL,151.184.202.192,102.199.172.151,27096,80
Yes,1198.0,,,,NORMAL,62.133.38.198,116.117.240.145,51583,80
Yes,1999.0,,,,NORMAL,161.181.7.179,168.163.227.13,58048,80
Yes,1716.0,,,,NORMAL,128.2.183.39,58.234.244.161,7008,80
Yes,1885.0,,,,NORMAL,96.218.127.50,167.38.67.246,14449,80
Yes,840.0,17.0,0.0,,NORMAL,241.227.102.218,46.10.234.213,26113,80
Yes,1297.0,,,,NORMAL,89.5.221.6,167.74.115.72,6912,80
Yes,465.0,15.0,127.0,,NORMAL,185.151.162.237,27.53.249.27,40682,80
Yes,905.0,0.0,,,NORMAL,43.178.80.161,159.14.171.136,22929,80
Yes,1391.0,,,,NORMAL,180.153.33.191,6.192.37.255,19606,80
Yes,967.0,5.0,,,NORMAL,88.91.214.168,128.52.114.168,50058,80
Yes,248.0,15.0,309.0,1049.0,ABNORMAL,197.174.35.73,34.166.12.244,8235,80
Yes,183.0,0.0,,,NORMAL,42.145.38.20,176.198.50.242,57662,80
Yes,1423.0,,,,NORMAL,219.157.41.213,10.28.146.109,10957,80
Yes,649.0,18.0,455.0,1308.0,ABNORMAL,186.146.46.211,186.63.29.88,16730,80
Yes,971.0,19.0,562.0,1734.0,ABNORMAL,151.118.180.245,91.94.39.214,36202,80
Yes,779.0,19.0,206.0,,NORMAL,246.204.99.212,61.239.202.142,57168,80
Yes,1724.0,,,,NORMAL,27.56.72.165,149.186.117.84,58073,80
Yes,836.0,14.0,12.0,,NORMAL,187.88.138.53,88.212.98.52,46842,80
Yes,442.0,10.0,,,NORMAL,160.14.174.253,185.56.68.11,62126,80
Yes,611.0,17.0,390.0,536.0,NORMAL,43.103.94.171,6.163.117.214,44983,80
Yes,1127.0,,,,NORMAL,229.120.127.73,134.35.98.94,54263,80
Yes,1084.0,,,,NORMAL,148.138.44.190,12.29.215.187,63565,80
Yes,831.0,11.0,92.0,,NORMAL,235.47.47.210,65.95.97.160,38403,80
Yes,1180.0,,,,NORMAL,240.28.109.61,6.174.229.86,7062,80
Yes,252.0,15.0,63.0,,NORMAL,213.8.211.167,173.210.33.222,21299,80
Yes,16.0,19.0,401.0,850.0,NORMAL,248.228.20.180,128.30.128.156,57761,80
Yes,1341.0,,,,NORMAL,184.103.39.216,252.3.165.49,31023,80
Yes,634.0,7.0,,,NORMAL,232.216.228.248,162.71.46.16,13451,80
Yes,211.0,9.0,,,NORMAL,69.184.142.195,245.119.111.233,29915,80
Yes,1960.0,,,,NORMAL,113.60.221.23,191.131.31.227,26628,80
Yes,277.0,16.0,387.0,1406.0,ABNORMAL,186.47.117.24,28.225.212.74,32774,80
Yes,1119.0,,,,NORMAL,249.32.50.189,17.226.159.226,10423,80
Yes,1952.0,,,,NORMAL,209.45.194.188,17.82.219.46,29854,80
Yes,29.0,14.0,504.0,221.0,NORMAL,127.32.250.141,86.47.221.27,27416,80
Yes,931.0,10.0,,,NORMAL,125.63.211.83,18.85.236.24,45929,80
Yes,1432.0,,,,NORMAL,83.168.23.192,49.72.246.134,7750,80
No,,,,,NORMAL,5.183.237.28,253.220.225.33,57505,80
Yes,1544.0,,,,NORMAL,235.143.93.137,185.244.22.118,4410,80
Yes,497.0,4.0,,,NORMAL,72.110.207.35,249.241.36.140,19534,80
Yes,1585.0,,,,NORMAL,179.254.155.62,43.46.241.149,41554,80
Yes,1205.0,,,,NORMAL,35.199.211.62,111.5.252.182,59340,37597
Yes,1377.0,,,,NORMAL,13.1.186.62,37.47.171.70,64607,80
Yes,1671.0,,,,NORMAL,209.242.238.205,71.229.223.26,38573,80
Yes,191.0,14.0,489.0,800.0,NORMAL,176.129.207.70,247.199.69.47,9279,80
Yes,790.0,14.0,107.0,,NORMAL,14.229.186.42,173.246.70.55,18695,80
Yes,1160.0,,,,NORMAL,143.25.152.92,254.224.117.86,25954,80
Yes,1575.0,,,,NORMAL,173.21.92.9,87.211.5.218,22407,80
Yes,1271.0,,,,NORMAL,54.246.152.29,171.87.145.192,55523,80
Yes,1062.0,,,,NORMAL,210.56.178.23,239.24.7.104,54161,80
Yes,1787.0,,,,NORMAL,139.208.201.119,131.174.34.157,10457,80
Yes,1634.0,,,,NORMAL,166.159.54.66,39.226.216.203,20640,80
Yes,62.0,9.0,,,NORMAL,231.202.230.16,176.229.1.135,14614,80
Yes,1711.0,,,,NORMAL,123.34.255.190,141.59.16.49,56632,80
Yes,134.0,13.0,393.0,1943.0,ABNORMAL,166.143.188.215,95.160.250.24,55717,80
Yes,1542.0,,,,NORMAL,16.27.122.118,151.161.129.10,5160,80
Yes,496.0,0.0,,,NORMAL,51.126.67.152,98.206.255.197,3793,80
Yes,1768.0,,,,NORMAL,193.47.212.254,194.196.100.91,16585,80
Yes,1001.0,3.0,,,NORMAL,162.19.19.14,233.139.59.44,2314,80
Yes,788.0,15.0,330.0,655.0,NORMAL,16.138.202.87,228.36.223.22,23310,80
Yes,869.0,16.0,161.0,,NORMAL,190.18.172.131,211.135.212.179,8898,80
Yes,1392.0,,,,NORMAL,139.213.207.64,111.130.33.104,24901,80
Yes,1912.0,,,,NORMAL,225.141.24.194,241.255.99.23,65535,80
Yes,8.0,5.0,,,NORMAL,34.124.93.30,198.99.117.40,52272,80
Yes,375.0,13.0,545.0,822.0,NORMAL,88.72.28.29,143.203.199.140,45411,80
Yes,158.0,12.0,164.0,,NORMAL,119.123.32.66,198.223.90.68,1399,80
Yes,1208.0,,,,NORMAL,123.200.169.149,37.4.54.210,3961,80
Yes,1301.0,,,,NORMAL,115.159.243.82,99.240.234.12,47831,80
Yes,983.0,7.0,,,NORMAL,127.250.72.213,18.32.221.51,30456,80
Yes,304.0,13.0,552.0,61.0,NORMAL,224.29.127.178,148.33.99.123,9443,80
Yes,1479.0,,,,NORMAL,19.227.222.25,54.203.161.46,35528,80
Yes,216.0,2.0,,,NORMAL,157.195.166.147,178.4.97.40,56223,80
Yes,1063.0,,,,NORMAL,32.56.22.159,207.47.149.46,5238,56458
Yes,705.0,19.0,224.0,,NORMAL,82.91.37.208,4.103.190.84,26125,80
Yes,944.0,20.0,247.0,,NORMAL,16.195.255.179,140.189.199.25,20087,80
Yes,380.0,13.0,316.0,624.0,NORMAL,112.233.246.81,252.88.204.244,56980,80
Yes,1244.0,,,,NORMAL,63.21.104.209,6.250.150.92,41665,80
Yes,1416.0,,,,NORMAL,121.206.165.62,197.191.201.13,5025,80
Yes,516.0,7.0,,,NORMAL,231.71.6.94,65.129.135.19,23085,80
Yes,947.0,10.0,,,NORMAL,134.22.165.65,165.191.63.40,33585,80
Yes,1704.0,,,,NORMAL,151.99.131.54,118.232.72.142,11096,80
Yes,1620.0,,,,NORMAL,88.185.33.226,223.45.119.142,60643,80
Yes,1032.0,,,,NORMAL,250.219.161.231,195.89.71.152,24789,80
Yes,1654.0,,,,NORMAL,11.232.28.50,11.65.154.23,61299,80
Yes,1742.0,,,,NORMAL,57.13.30.149,248.32.94.15,32245,80
Yes,1314.0,,,,NORMAL,250.167.13.28,71.154.77.9,17377,80
Yes,646.0,5.0,,,NORMAL,241.38.130.119,96.146.242.227,22817,80
Yes,1705.0,,,,NORMAL,38.63.160.143,150.93.58.142,47348,80
Yes,1966.0,,,,NORMAL,176.240.14.113,224.74.211.15,1334,80
Yes,1832.0,,,,NORMAL,21.190.4.153,6.133.64.88,3793,80
Yes,537.0,14.0,249.0,,NORMAL,153.24.25.204,203.79.107.154,64258,80
Yes,867.0,19.0,290.0,,NORMAL,254.208.236.110,28.23.207.185,47155,80
Yes,1353.0,,,,NORMAL,5.205.6.102,50.138.181.255,27469,80
Yes,662.0,9.0,,,NORMAL,241.27.226.45,1.211.222.144,44548,80
Yes,94.0,16.0,337.0,1755.0,ABNORMAL,5.104.180.88,122.27.220.39,55465,80
Yes,323.0,0.0,,,NORMAL,166.65.214.201,1.20.7.122,45673,80
Yes,1584.0,,,,NORMAL,44.54.56.106,233.197.166.192,2324,80
Yes,1127.0,,,,NORMAL,19.12.116.255,66.69.197.110,11652,61097
Yes,1358.0,,,,NORMAL,198.29.125.206,120.133.28.218,3999,80
Yes,1361.0,,,,NORMAL,197.103.81.184,190.227.149.91,55324,15736
Yes,1901.0,,,,NORMAL,237.203.51.247,90.80.205.213,28751,80
Yes,1669.0,,,,NORMAL,11.111.229.109,60.230.6.96,50213,80
Yes,415.0,1.0,,,NORMAL,31.23.64.63,217.236.247.220,28858,80
Yes,1614.0,,,,NORMAL,52.246.242.177,131.209.117.47,47987,80
Yes,180.0,9.0,,,NORMAL,158.85.26.93,85.153.190.185,11991,80
Yes,305.0,1.0,,,NORMAL,247.170.67.231,32.177.20.78,45065,80
Yes,1329.0,,,,NORMAL,142.139.68.35,112.205.142.8,2951,80
Yes,980.0,13.0,305.0,1795.0,ABNORMAL,150.212.200.218,205.100.34.192,21993,80
Yes,523.0,14.0,100.0,,NORMAL,63.43.248.214,90.135.193.131,21767,80
Yes,117.0,1.0,,,NORMAL,145.10.188.234,24.67.179.74,12144,80
Yes,608.0,6.0,,,NORMAL,86.64.61.51,115.174.85.146,17026,80
Yes,729.0,12.0,593.0,1536.0,ABNORMAL,26.234.133.131,124.126.92.118,32571,80
Yes,1994.0,,,,NORMAL,246.10.187.126,220.151.126.191,40205,80
Yes,476.0,16.0,425.0,995.0,NORMAL,109.148.231.73,179.236.216.68,12251,80
Yes,1579.0,,,,NORMAL,28.39.117.247,228.107.213.42,62874,80
Yes,1200.0,,,,NORMAL,240.95.178.70,87.107.13.255,50509,80
Yes,515.0,5.0,,,NORMAL,219.211.112.15,19.52.201.241,20128,80
Yes,1660.0,,,,NORMAL,241.226.0.84,15.149.136.31,2549,80
Yes,724.0,5.0,,,NORMAL,178.134.32.11,30.158.61.145,52398,80
Yes,1357.0,,,,NORMAL,169.143.220.72,11.74.6.75,39379,80
Yes,1220.0,,,,NORMAL,138.14.91.205,191.55.4.36,54497,80
Yes,469.0,15.0,116.0,,NORMAL,82.137.104.166,138.235.190.105,15294,80
Yes,1015.0,20.0,215.0,,NORMAL,215.161.183.200,180.190.111.50,15137,80
Yes,145.0,18.0,499.0,576.0,NORMAL,158.204.221.8,221.176.80.234,18351,80
Yes,1295.0,,,,NORMAL,153.159.127.152,230.175.64.149,45432,80
Yes,1404.0,,,,NORMAL,208.137.80.92,236.15.162.12,55347,80
Yes,1124.0,,,,NORMAL,124.98.178.147,127.35.75.217,9288,80
Yes,900.0,9.0,,,NORMAL,102.180.137.163,226.116.59.165,33512,80
Yes,68.0,20.0,495.0,744.0,NORMAL,169.12.151.31,227.39.175.148,24708,80
Yes,1030.0,,,,NORMAL,63.6.4.227,95.252.187.213,41343,80
Yes,1996.0,,,,NORMAL,87.106.88.81,166.152.180.229,46445,80
Yes,1577.0,,,,NORMAL,12.141.119.212,135.49.181.127,37752,80
Yes,1495.0,,,,NORMAL,4.118.94.193,80.68.142.44,2580,80
Yes,398.0,2.0,,,NORMAL,207.104.247.245,65.149.14.219,57543,80
Yes,1615.0,,,,NORMAL,175.145.86.61,116.174.105.255,43176,80
Yes,542.0,15.0,562.0,1929.0,ABNORMAL,168.197.230.172,91.75.42.208,50685,80
No,,,,,NORMAL,96.92.97.168,53.162.103.56,2384,80
Yes,417.0,5.0,,,NORMAL,60.204.65.73,29.39.177.195,17386,80
Yes,1780.0,,,,NORMAL,94.179.188.4,29.27.198.229,57012,80
Yes,380.0,8.0,,,NORMAL,232.231.55.232,60.33.147.67,27116,80
Yes,1692.0,,,,NORMAL,239.48.20.24,248.158.87.158,56786,80
Yes,1852.0,,,,NORMAL,147.178.85.196,67.4.225.180,53951,80
Yes,1567.0,,,,NORMAL,232.68.192.222,247.119.81.31,28047,80
Yes,820.0,4.0,,,NORMAL,205.210.35.149,242.155.20.105,56659,80
Yes,1936.0,,,,NORMAL,147.167.201.26,210.203.218.172,21868,80
Yes,339.0,1.0,,,NORMAL,206.244.158.82,207.143.228.29,12516,80
Yes,1701.0,,,,NORMAL,135.105.167.69,99.217.119.99,35291,80
Yes,802.0,17.0,230.0,,NORMAL,236.136.132.30,182.181.114.209,3878,80
Yes,1360.0,,,,NORMAL,80.240.49.44,187.4.30.184,21338,80
Yes,1259.0,,,,NORMAL,124.252.233.20,100.176.110.121,34581,80
No,,,,,NORMAL,221.247.111.174,93.11.186.151,33176,80
Yes,825.0,18.0,99.0,,NORMAL,144.56.129.240,211.163.42.59,44187,80
Yes,1560.0,,,,NORMAL,134.162.186.49,48.26.248.190,18185,80
Yes,452.0,15.0,301.0,758.0,NORMAL,146.87.241.154,210.129.224.86,36201,80
Yes,1832.0,,,,NORMAL,191.174.171.115,115.72.137.226,19390,80
Yes,1066.0,,,,NORMAL,195.108.96.246,27.189.160.29,31805,80
Yes,871.0,1.0,,,NORMAL,105.44.103.211,15.220.184.136,3297,80
Yes,1950.0,,,,NORMAL,53.10.133.34,52.206.71.88,34480,80
Yes,956.0,17.0,279.0,,NORMAL,192.41.228.233,27.61.239.113,21502,80
Yes,1907.0,,,,NORMAL,211.88.240.160,117.186.157.227,25146,80
Yes,1219.0,,,,NORMAL,162.149.117.63,251.206.51.85,34762,80
Yes,1905.0,,,,NORMAL,31.169.239.120,125.110.151.84,9606,80
Yes,1629.0,,,,NORMAL,49.98.45.18,89.23.146.42,46765,80
Yes,1369.0,,,,NORMAL,28.131.97.86,32.89.169.218,26189,80
Yes,1474.0,,,,NORMAL,155.205.196.129,212.159.38.119,43072,80
Yes,1829.0,,,,NORMAL,57.99.225.72,168.20.236.21,48176,80
Yes,1023.0,17.0,457.0,309.0,NORMAL,193.49.164.42,207.247.222.249,60590,80
Yes,1667.0,,,,NORMAL,151.138.56.236,169.26.96.215,11515,80
Yes,1494.0,,,,NORMAL,1.203.75.216,132.55.113.225,64765,80
Yes,315.0,13.0,92.0,,NORMAL,139.198.23.164,158.109.208.55,25583,80
Yes,1023.0,18.0,483.0,1369.0,ABNORMAL,192.64.154.50,145.217.63.226,53131,7292
Yes,50.0,20.0,97.0,,NORMAL,122.0.245.116,181.86.27.15,31073,80
Yes,1332.0,,,,NORMAL,194.13.47.131,11.215.118.38,9530,19526
Yes,1304.0,,,,NORMAL,13.183.8.172,75.48.0.165,21436,80
Yes,368.0,3.0,,,NORMAL,128.241.217.56,137.146.3.184,10638,80
Yes,655.0,6.0,,,NORMAL,62.134.81.216,147.36.184.55,4995,80
Yes,1212.0,,,,NORMAL,79.218.71.34,185.27.194.202,43940,80
Yes,1242.0,,,,NORMAL,107.136.159.132,95.96.38.250,61641,80
Yes,323.0,17.0,308.0,1740.0,ABNORMAL,146.30.145.107,215.116.185.50,21227,80
Yes,359.0,16.0,344.0,1705.0,ABNORMAL,55.231.95.147,184.128.185.231,26145,80
Yes,812.0,1.0,,,NORMAL,174.188.44.54,88.95.169.255,47989,80
Yes,1496.0,,,,NORMAL,185.104.197.161,241.204.163.124,56762,80
Yes,1543.0,,,,NORMAL,27.161.230.85,137.73.90.23,37733,80
Yes,1870.0,,,,NORMAL,88.172.21.204,110.125.221.101,65432,80
Yes,1431.0,,,,NORMAL,85.58.92.126,75.208.10.140,58752,80
Yes,1824.0,,,,NORMAL,155.122.225.215,40.214.220.70,9097,80
Yes,912.0,5.0,,,NORMAL,38.142.212.227,3.206.245.33,47817,80
Yes,56.0,12.0,587.0,1889.0,ABNORMAL,14.186.70.230,223.234.43.120,39404,80
Yes,1655.0,,,,NORMAL,95.133.43.59,240.244.9.188,26536,80
Yes,535.0,14.0,285.0,,NORMAL,202.214.59.17,183.185.224.171,37467,80
Yes,687.0,8.0,,,NORMAL,216.79.204.109,112.169.145.73,56096,80
Yes,209.0,8.0,,,NORMAL,109.28.171.76,122.48.254.231,51322,80
Yes,953.0,5.0,,,NORMAL,85.105.180.222,147.47.242.151,36311,80
Yes,437.0,6.0,,,NORMAL,111.2.221.7,94.65.242.18,48164,80
Yes,818.0,19.0,260.0,,NORMAL,185.172.69.138,245.53.72.255,52984,80
Yes,258.0,18.0,47.0,,NORMAL,49.114.59.38,169.223.125.92,30147,80
Yes,847.0,9.0,,,NORMAL,14.116.59.13,214.106.207.210,55246,80
Yes,456.0,6.0,,,NORMAL,67.244.246.136,136.80.166.173,57322,80
Yes,553.0,13.0,16.0,,NORMAL,156.26.129.240,246.56.68.94,55706,80
Yes,936.0,10.0,,,NORMAL,173.137.163.36,19.19.141.239,3753,80
Yes,887.0,17.0,51.0,,NORMAL,142.68.216.222,138.170.101.243,64643,80
Yes,1281.0,,,,NORMAL,101.221.53.2,19.135.45.152,17323,80
Yes,546.0,3.0,,,NORMAL,84.85.11.195,113.157.220.99,43530,80
Yes,1402.0,,,,NORMAL,181.112.28.162,56.193.199.218,12282,80
Yes,934.0,2.0,,,NORMAL,147.128.8.116,82.27.35.111,40152,80
Yes,102.0,8.0,,,NORMAL,239.34.233.59,245.140.107.28,5322,80
Yes,887.0,2.0,,,NORMAL,101.251.123.21,59.220.47.33,8577,80
Yes,1679.0,,,,NORMAL,103.246.37.243,124.196.41.252,3313,80
Yes,707.0,5.0,,,NORMAL,228.234.173.76,228.27.255.138,59502,80
Yes,97.0,8.0,,,NORMAL,239.196.209.121,101.85.54.126,60128,80
Yes,1304.0,,,,NORMAL,132.111.225.53,249.233.186.103,28063,80
Yes,139.0,2.0,,,NORMAL,189.45.173.104,44.127.35.73,60947,80
Yes,466.0,19.0,143.0,,NORMAL,135.240.123.249,87.148.117.3,63085,80
No,,,,,NORMAL,151.173.126.17,63.97.164.189,3889,80
Yes,628.0,14.0,110.0,,NORMAL,217.11.135.3,132.8.4.59,24353,80
No,,,,,NORMAL,63.249.107.209,98.241.159.62,37772,80
Yes,941.0,17.0,350.0,1826.0,ABNORMAL,187.167.169.100,60.177.23.82,32000,80
Yes,701.0,18.0,85.0,,NORMAL,208.199.117.52,53.240.158.5,38448,80
Yes,1414.0,,,,NORMAL,23.17.169.165,219.185.59.57,41787,80
Yes,1392.0,,,,NORMAL,85.122.171.53,127.140.97.229,14516,80
Yes,1843.0,,,,NORMAL,213.31.159.220,160.16.71.168,50289,80
Yes,1858.0,,,,NORMAL,248.179.77.215,230.62.210.160,4962,80
Yes,725.0,4.0,,,NORMAL,237.109.209.52,61.237.205.160,23162,80
Yes,1410.0,,,,NORMAL,45.162.55.35,215.81.160.54,12343,80
Yes,390.0,17.0,76.0,,NORMAL,53.46.244.244,144.40.133.54,60352,80
Yes,1842.0,,,,NORMAL,216.134.215.246,11.190.75.132,47614,80
Yes,549.0,9.0,,,NORMAL,129.52.130.161,13.120.2.97,61170,80
Yes,920.0,7.0,,,NORMAL,66.29.254.32,63.70.0.76,56049,45458
Yes,1232.0,,,,NORMAL,28.226.134.108,238.188.75.145,17506,80
Yes,463.0,11.0,178.0,,NORMAL,161.201.188.56,231.85.156.217,19773,80
Yes,329.0,17.0,242.0,,NORMAL,94.135.86.17,214.62.130.141,60495,80
Yes,1051.0,,,,NORMAL,225.58.180.45,37.105.131.199,12758,80
Yes,665.0,8.0,,,NORMAL,18.184.243.247,197.66.238.213,12964,80
Yes,449.0,19.0,2.0,,NORMAL,96.36.50.145,251.216.107.184,35497,80
Yes,317.0,9.0,,,NORMAL,66.208.134.108,89.177.182.75,53289,80
Yes,1647.0,,,,NORMAL,13.181.213.146,230.62.246.141,46468,80
Yes,1795.0,,,,NORMAL,55.146.61.168,137.76.108.81,1255,80
Yes,958.0,19.0,467.0,1886.0,ABNORMAL,45.205.37.119,228.204.199.90,29795,80
Yes,976.0,20.0,584.0,220.0,NORMAL,100.117.207.85,227.160.63.25,28788,60660
Yes,736.0,18.0,554.0,246.0,NORMAL,242.114.179.161,83.177.235.229,3392,80
Yes,1505.0,,,,NORMAL,11.37.143.229,102.156.169.62,62925,80
Yes,294.0,3.0,,,NORMAL,86.106.59.39,88.157.189.22,21944,61399
Yes,1926.0,,,,NORMAL,4.74.40.12,60.126.179.162,59124,80
Yes,1292.0,,,,NORMAL,9.143.89.59,244.242.98.102,28472,80
Yes,407.0,10.0,,,NORMAL,158.205.56.101,103.199.163.192,12329,80
Yes,1377.0,,,,NORMAL,7.96.115.131,66.122.29.176,44558,80
Yes,1222.0,,,,NORMAL,127.209.126.4,61.69.24.186,55047,80
No,,,,,NORMAL,22.206.187.88,213.250.255.209,62801,39080
Yes,1984.0,,,,NORMAL,181.238.142.204,56.55.187.149,29225,80
Yes,374.0,20.0,535.0,1493.0,ABNORMAL,252.131.148.189,24.13.69.119,2585,80
Yes,1701.0,,,,NORMAL,7.242.74.163,41.114.218.129,57348,80
